title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3
Babes in Arms,1939,31066,3723,3,6.3,2847.0,94,Comedy,Musical,
Dark Victory,1939,31210,1370,3,7.4,12344.0,104,Drama,Romance,
Destry Rides Again,1939,31225,5634,3,7.6,12510.0,95,Comedy,Western,
Dodge City,1939,31235,383,2,7.1,5749.0,104,Western,,
Drums Along the Mohawk,1939,31252,1384,2,7.0,6775.0,104,Drama,Romance,War
Essex and Elizabeth,1939,31826,1371,2,7.0,6148.0,106,Biography,Drama,History
"Flying Deuces, The",1939,31322,1973,0,6.7,5718.0,69,Comedy,Family,War
Gone with the Wind,1939,31381,291,3,8.2,333344.0,238,Drama,Romance,War
"Goodbye, Mr. Chips",1939,31385,1245,2,7.9,11545.0,114,Drama,Romance,
"Gorilla, The",1939,31387,2555,3,4.8,1666.0,66,Comedy,Horror,
Gulliver&#39;s Travels,1939,31397,8511,0,6.6,4828.0,76,Adventure,Animation,Comedy
Gunga Din,1939,31398,10848,0,7.2,12783.0,117,Adventure,Comedy,War
"Hunchback of Notre Dame, The",1939,31455,2086,0,7.8,12243.0,116,Drama,Horror,Romance
Jamaica Inn,1939,31505,7322,3,6.3,11146.0,108,Adventure,Crime,
Jesse James,1939,31507,1383,2,7.0,4931.0,106,Western,,
Juarez,1939,31516,1368,2,6.9,2548.0,125,Biography,Drama,History
Le jour se l&egrave;ve,1939,31514,8098,2,7.7,8243.0,93,Crime,Drama,Romance
Love Affair,1939,31593,9038,3,7.3,6387.0,88,Comedy,Drama,Romance
Mr. Smith Goes to Washington,1939,31679,5946,2,8.1,121147.0,129,Comedy,Drama,
Mr. Wong in Chinatown,1939,31680,2622,1,5.8,942.0,71,Adventure,Crime,Drama
Nancy Drew... Reporter,1939,31709,5763,3,6.5,1456.0,68,Comedy,Crime,Family
Ninotchka,1939,31725,1259,3,7.8,22821.0,110,Comedy,Romance,
Of Mice and Men,1939,31742,2851,1,7.8,6824.0,106,Adventure,Drama,
Only Angels Have Wings,1939,31762,10880,2,7.6,15611.0,121,Adventure,Drama,Romance
"Rules of the Game, The",1939,31885,3089,3,7.9,31226.0,110,Comedy,Drama,
Stagecoach,1939,31971,593,3,7.8,53592.0,96,Adventure,Drama,Western
"Story of Alexander Graham Bell, The",1939,31981,1385,2,7.0,1192.0,98,Biography,Drama,History
"Wizard of Oz, The",1939,32138,174,3,8.1,427460.0,102,Adventure,Family,Fantasy
"Women, The",1939,32143,588,3,7.7,14861.0,133,Comedy,Drama,
Wuthering Heights,1939,32145,1239,2,7.5,19711.0,104,Drama,Romance,
Young Mr. Lincoln,1939,32155,1382,2,7.5,9150.0,100,Biography,Drama,History
A Chump at Oxford,1940,32339,1975,0,7.2,4283.0,62,Comedy,Family,
"All This, and Heaven Too",1940,32194,1373,2,7.4,5373.0,141,Drama,Romance,
Anne Of Windy Poplars,1940,32211,5320,3,6.4,213.0,86,Drama,Romance,
"Ape, The",1940,32215,2556,3,4.6,2052.0,62,Horror,,
Boom Town,1940,32273,1356,1,7.0,3765.0,119,Drama,Romance,Western
Chamber of Horrors / Door with the Seven Locks,1940,32406,4363,2,5.5,706.0,89,Drama,Horror,Mystery
Comrade X,1940,32349,1355,2,6.5,1819.0,104,Comedy,Romance,
"Dance, Girl, Dance",1940,32376,4415,3,6.8,3067.0,90,Comedy,Drama,Music
Fantasia,1940,32455,5039,0,7.7,103720.0,124,Animation,Family,Fantasy
Foreign Correspondent,1940,32484,7311,1,7.4,23593.0,120,Action,Romance,Thriller
Gaslight,1940,31359,5773,3,7.3,5248.0,84,Mystery,Thriller,
